2001: A Space Odyssey	Arthur C. Clarke
A Ballad for Georg Henig	Viktor Paskov
A Bell for Adano	John Hersey
A Boy's Own Story	Edmund White
A Brief History of Seven Killings	Marlon James
A Canticle for Leibowitz	Walter M. Miller
A Confederacy of Dunces	John Kennedy Toole
A Constellation of Vital Phenomena: A Novel	Anthony Marra
A Dance to the Music of Time	Anthony Powell
A Day Off	Storm Jameson
A Death in the Family	James Agee
A Dog's Purpose	W. Bruce Cameron
A Dry White Season	Andre Brink
A Fan's Notes	Frederick Exley
A Feast of Snakes	Harry Crews
A Fine Balance	Rohinton Mistry
A Frolic of His Own	William Gaddis
A Game of Thrones	George R. R. Martin
A Good Scent from a Strange Mountain	Robert Olen Butler
A Hero of Our Time	Mikhail Lermontov
A High Wind in Jamaica	Richard Hughes
A Home at the End of the World	Michael Cunningham
A Kestrel for a Knave	Barry Hines
A Legacy	Sybille Bedford
A Lesson Before Dying	Ernest J. Gaines
A Light Comedy	Eduardo Mendoza
A Little Life	Hanya Yanagihara
A Little Princess	Frances Hodgson Burnett
A Mirror for Witches	Esther Forbes
A Pale View of Hills	Kazuo Ishiguro
A Place of Greater Safety	Hilary Mantel
A Question of Power	Bessie Head
A Reckless Character and Other Stories	Ivan Turgenev
A Sentimental Journey Through France and Italy	Laurence Sterne
A Separate Peace	John Knowles
A Series of Unfortunate Events #1: The Bad Beginning	Lemony Snicket
A Sight for Sore Eyes	Ruth Rendell
A Single Man	Christopher Isherwood
A Sport and a Pastime	James Salter
A Thousand Acres	Jane Smiley
A Thousand Splendid Suns	Khaled Hosseini
A Tomb for Boris Davidovich	Danilo Kiš
A Town Like Alice	Nevil Shute
A Tree Grows in Brooklyn	Betty Smith
A Violent Life	Pier Paolo Pasolini
A Visit From The Goon Squad	Jennifer Egan
A World for Julius	Alfredo Bryce Echenique
A Wrinkle In Time	Madeleine L'Engle
Absolute Beginners	Colin MacInnes
Abu Telfan, Return from the Mountains of the Moon	Wilhelm Karl Raabe
Adam Bede	George Eliot
Adolphe	Benjamin Constant
Advertisements for Myself	Norman Mailer
Advise and Consent	Allen Drury
Aesop's Fables	Aesop
Affliction	Russell Banks
African Stories	Doris Lessing
After the Flood	P. C. Jersild
Airships	Barry Hannah
Alamut	Vladimir Bartol
Alberta empfängt einen Liebhaber	Birgit Vanderbeke
Alcestis	Euripides
Alice Adams	Booth Tarkington
All about H. Hatterr	G. V. Desani
All Grown Up	Jami Attenberg
All My Puny Sorrows	Miriam Toews
All Quiet on the Western Front	Erich Maria Remarque
All the King's Men	Robert Penn Warren
All the Light We Cannot See	Anthony Doerr
Always Coming Home	Ursula K. Le Guin
Amadis of Gaul	Garci Rodriguez de Montalvo
Amelia	Henry Fielding
American Genius: A Comedy	Lynne Tillman
American Innovations	Rivka Galchen
American Psycho	Bret Easton Ellis
American Rust	Philipp Meyer
American War	Omar El Akkad
Amerika	Franz Kafka
Amers	Saint-John Perse
An Absolutely Remarkable Thing	Hank Green
An Enemy of the People	Henrik Ibsen
An Occurrence at Owl Creek Bridge	Ambrose Bierce
An Untamed State	Roxane Gay
Anagrams	Lorrie Moore
Ancestral Voices	Etienne van Heerden
Andersonville	MacKinlay Kantor
Anecdotes of Destiny	Isak Dinesen
